,Indicator,Median,Range_min,Range_max,Index_disp,Max_dev
0,C1_cost,9.54,-14.06,33.13,1.22,2.26
1,C2_ti,1.22,0.57,1.86,0.27,0.41
2,C3_dem,0.27,0.13,0.41,0.27,0.53
3,ED1_etrans,0.44,0.07,0.81,0.36,0.93
4,ED2_eindus,0.54,0.25,0.83,0.26,0.64
5,ED3_ebuild,0.76,0.55,0.98,0.15,0.37
6,ED4_emise,-78.17,-593.98,437.63,1.34,-0.0
7,ED5_hydrogen,0.06,-0.05,0.16,0.79,3.13
8,ES1_coal,0.0,-0.05,0.06,1.4,51.05
9,ES2_oil,0.08,-0.05,0.21,0.73,2.07
10,ES3_gas,0.08,-0.09,0.25,0.97,2.75
11,ES4_solar,0.21,0.01,0.4,0.49,2.14
12,ES5_wind,0.33,-0.04,0.7,0.59,0.95
13,ES6_biomass,0.21,0.04,0.39,0.41,0.89
14,ES7_nuclear,0.03,-0.01,0.07,0.67,2.32
15,M1_cir,0.96,0.74,1.17,0.11,0.3
16,M2_eir,0.47,0.27,0.67,0.21,0.39
17,M3_cc,436.48,-7.46,880.41,0.47,1.28
18,M4_nonco2,0.11,-0.04,0.25,0.62,1.2
19,R1_rai,0.94,0.64,1.24,0.16,0.35
20,R1s_rai,0.96,0.76,1.17,0.11,0.29
21,R2_time,20.0,12.77,27.23,0.18,0.45
22,R3_speedmax,167.77,112.91,222.64,0.16,0.36
23,R4_sensprim,0.001,-0.003,0.004,1.402,9.449
24,R5_sensdem,154.7,-890.25,1199.65,1.26,8.55
